skeleton_id,service_sequence,edge_count,communication_margin,drone_type
SK-00424,S002>S003>S010,4,1.322380853485683e-06,C
SK-00425,S002>S003>S011,4,1.322380853485683e-06,C
SK-00426,S002>S003>S012,4,1.322380853485683e-06,C
SK-00427,S002>S003>S013,4,1.322380853485683e-06,C
SK-00428,S002>S003>S014,4,1.322380853485683e-06,C
SK-00429,S002>S003>S015,4,1.322380853485683e-06,C
SK-00430,S002>S004>S001,4,1.322380853485683e-06,C
SK-00431,S002>S004>S003,4,1.322380853485683e-06,C
SK-00432,S002>S004>S005,4,1.322380853485683e-06,C
SK-00433,S002>S004>S006,4,1.322380853485683e-06,C
SK-00434,S002>S004>S007,4,1.322380853485683e-06,C
SK-00435,S002>S004>S008,4,1.322380853485683e-06,C
SK-00436,S002>S004>S009,4,1.322380853485683e-06,C
SK-00437,S002>S004>S010,4,1.322380853485683e-06,C
SK-00438,S002>S004>S011,4,1.322380853485683e-06,C
SK-00439,S002>S004>S012,4,1.322380853485683e-06,C
SK-00440,S002>S004>S013,4,1.322380853485683e-06,C
SK-00441,S002>S004>S014,4,1.322380853485683e-06,C
SK-00442,S002>S005>S001,4,1.322380853485683e-06,C
SK-00443,S002>S005>S003,4,1.322380853485683e-06,C
SK-00444,S002>S005>S004,4,1.322380853485683e-06,C
SK-00445,S002>S005>S006,4,1.322380853485683e-06,C
SK-00446,S002>S005>S007,4,1.322380853485683e-06,C
SK-00447,S002>S005>S008,4,1.322380853485683e-06,C
SK-00448,S002>S005>S009,4,1.322380853485683e-06,C
SK-00449,S002>S005>S010,4,1.322380853485683e-06,C
SK-00450,S002>S005>S011,4,1.322380853485683e-06,C
SK-00451,S002>S005>S012,4,1.322380853485683e-06,C
SK-00452,S002>S005>S013,4,1.322380853485683e-06,C
SK-00453,S002>S005>S014,4,1.322380853485683e-06,C
SK-00454,S002>S005>S015,4,1.322380853485683e-06,C
SK-00455,S002>S006>S001,4,1.322380853485683e-06,C
SK-00456,S002>S006>S003,4,1.322380853485683e-06,C
SK-00457,S002>S006>S004,4,1.322380853485683e-06,C
