sortie,interval,time_start,time_end,transport_endpoint_source,relay_endpoint_source,gateway_endpoint_source,same_time_axis,pass
Q2-003,507,19874.008031292917,19874.200079661372,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,508,19874.200079661372,19874.392128029827,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,509,19874.392128029827,19875.313799158506,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,510,19875.313799158506,19876.235470287185,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,511,19876.235470287185,19877.34918978429,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,512,19877.34918978429,19878.462909281396,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,513,19878.462909281396,19878.912968810575,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,514,19878.912968810575,19879.363028339754,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,515,19879.363028339754,19880.026688307695,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,516,19880.026688307695,19880.690348275635,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,517,19880.690348275635,19881.804067772755,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,518,19881.804067772755,19882.917787269875,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,519,19882.917787269875,19883.625857959905,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,520,19883.625857959905,19884.333928649936,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,521,19884.333928649936,19884.73957745701,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,522,19884.73957745701,19885.145226264085,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,523,19885.145226264085,19886.25894576122,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,524,19886.25894576122,19887.372665258354,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,525,19887.372665258354,19888.338747109236,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,526,19888.338747109236,19889.304828960117,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,527,19889.304828960117,19889.45246660634,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,528,19889.45246660634,19889.600104252564,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,529,19889.600104252564,19890.71382374967,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,530,19890.71382374967,19891.827543246774,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,531,19891.827543246774,19892.94126274391,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,532,19892.94126274391,19894.054982241043,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,533,19894.054982241043,19894.165355755544,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,534,19894.165355755544,19894.275729270044,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,535,19894.275729270044,19895.279075252653,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,536,19895.279075252653,19896.28242123526,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,537,19896.28242123526,19897.39614073238,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,538,19897.39614073238,19898.5098602295,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,539,19898.5098602295,19898.87824490499,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,540,19898.87824490499,19899.24662958048,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,541,19899.24662958048,19899.99196440211,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,542,19899.99196440211,19900.73729922374,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,543,19900.73729922374,19901.851018720845,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,544,19901.851018720845,19902.96473821795,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,545,19902.96473821795,19903.59113405418,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,546,19903.59113405418,19904.217529890408,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,547,19904.217529890408,19904.7048535513,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,548,19904.7048535513,19905.19217721219,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,549,19905.19217721219,19906.30589670931,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,550,19906.30589670931,19907.41961620643,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,551,19907.41961620643,19908.30402320338,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,552,19908.30402320338,19909.188430200335,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,553,19909.188430200335,19909.417742700487,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
Q2-003,554,19909.417742700487,19909.64705520064,"trajectory(x(t),y(t),z(t))",certified relay position at same global t,fixed G01,True,False
