primitive_interval,dem_cell,entry_parameter,exit_parameter,los_height_entry,los_height_exit,minimum_los_height,dem_height,clearance_lower_bound,pass,obstructed
6,532406222,0.0,1.0,206.3159708617123,206.3159708617123,206.3159708617123,130.80474853515625,75.51122232655604,True,False
6,535963126,0.0,1.0,205.8700895223956,205.8700895223956,205.8700895223956,130.80474853515625,75.06534098723935,True,False
6,767981563,0.0,1.0,176.7850447611978,176.7850447611978,176.7850447611978,128.7255401611328,48.059504600065,True,False
7,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,133.5413055419922,139.5153045654297,True,False
7,264424660,0.0,1.0,239.9092311542254,239.9092311542254,239.9092311542254,132.31642150878906,107.59280964543635,True,False
7,528849319,0.0,1.0,206.76185220102894,206.76185220102894,206.76185220102894,132.31642150878906,74.44543069223988,True,False
7,532406222,0.0,1.0,206.3159708617123,206.3159708617123,206.3159708617123,130.80474853515625,75.51122232655604,True,False
7,535963126,0.0,1.0,205.8700895223956,205.8700895223956,205.8700895223956,130.80474853515625,75.06534098723935,True,False
7,767981563,0.0,1.0,176.7850447611978,176.7850447611978,176.7850447611978,128.7255401611328,48.059504600065,True,False
7,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
7,105672500,0.0,1.0,259.80986375246243,259.80986375246243,259.80986375246243,133.5413055419922,126.26855821047025,True,False
7,211345000,0.0,1.0,246.563117397503,246.563117397503,246.563117397503,133.5413055419922,113.0218118555108,True,False
7,419884830,0.0,1.0,220.42127123464468,220.42127123464468,220.42127123464468,132.31642150878906,88.10484972585562,True,False
7,628424660,0.0,1.0,194.27942507178636,194.27942507178636,194.27942507178636,132.31642150878906,61.9630035629973,True,False
7,631229829,0.0,1.0,193.92777852438695,193.92777852438695,193.92777852438695,130.80474853515625,63.1230299892307,True,False
7,634034999,0.0,1.0,193.57613197698754,193.57613197698754,193.57613197698754,130.80474853515625,62.77138344183129,True,False
7,817017499,0.0,1.0,170.63806598849376,170.63806598849376,170.63806598849376,128.7255401611328,41.91252582736095,True,False
8,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,135.11814880371094,137.93846130371094,True,False
8,105672500,0.0,1.0,259.80986375246243,259.80986375246243,259.80986375246243,133.5413055419922,126.26855821047025,True,False
8,211345000,0.0,1.0,246.563117397503,246.563117397503,246.563117397503,133.5413055419922,113.0218118555108,True,False
8,419884830,0.0,1.0,220.42127123464468,220.42127123464468,220.42127123464468,132.31642150878906,88.10484972585562,True,False
8,628424660,0.0,1.0,194.27942507178636,194.27942507178636,194.27942507178636,132.31642150878906,61.9630035629973,True,False
8,631229829,0.0,1.0,193.92777852438695,193.92777852438695,193.92777852438695,130.80474853515625,63.1230299892307,True,False
8,634034999,0.0,1.0,193.57613197698754,193.57613197698754,193.57613197698754,130.80474853515625,62.77138344183129,True,False
8,817017499,0.0,1.0,170.63806598849376,170.63806598849376,170.63806598849376,128.7255401611328,41.91252582736095,True,False
8,1000000000,0.0,1.0,147.7,147.7,147.7,128.7255401611328,18.974459838867176,True,False
8,174471352,0.0,1.0,251.18547288439512,251.18547288439512,251.18547288439512,133.5413055419922,117.64416734240294,True,False
8,348942704,0.0,1.0,229.31433566136837,229.31433566136837,229.31433566136837,133.5413055419922,95.77303011937619,True,False
8,521098308,0.0,1.0,207.7334927371029,207.7334927371029,207.7334927371029,132.31642150878906,75.41707122831383,True,False
8,693253912,0.0,1.0,186.15264981283735,186.15264981283735,186.15264981283735,132.31642150878906,53.83622830404829,True,False
8,695569659,0.0,1.0,185.8623555140761,185.8623555140761,185.8623555140761,130.80474853515625,55.057606978919864,True,False
8,697885407,0.0,1.0,185.57206121531487,185.57206121531487,185.57206121531487,130.80474853515625,54.767312680158625,True,False
8,848942704,0.0,1.0,166.63603060765743,166.63603060765743,166.63603060765743,128.7255401611328,37.91049044652462,True,False
9,0,0.0,1.0,273.0566101074219,273.0566101074219,273.0566101074219,135.11814880371094,137.93846130371094,True,False
9,174471352,0.0,1.0,251.18547288439512,251.18547288439512,251.18547288439512,133.5413055419922,117.64416734240294,True,False
9,348942704,0.0,1.0,229.31433566136837,229.31433566136837,229.31433566136837,133.5413055419922,95.77303011937619,True,False
9,521098308,0.0,1.0,207.7334927371029,207.7334927371029,207.7334927371029,132.31642150878906,75.41707122831383,True,False
